ANDRIJAŠEVCI	HR1910010051700112008
ANTUNOVAC	HR8410010051700212009
BABINA GREDA	HR3110010051700312000
BAKAR	HR4210010051700412003
BALE - VALLE	HR6410010051700512002
BARBAN	HR4810010051700612006
BARILOVIĆ	HR9710010051700712004
BAŠKA	HR6510010051700812005
BAŠKA VODA	HR7110010051700912001
BEBRINA	HR4410010051701012009
BEDEKOVČINA	HR8810010051701112000
BEDENICA	HR8710010051755012008
BEDNJA	HR0210010051701212003
BELI MANASTIR	HR2410010051701312002
BELICA	HR5710010051701512004
BELIŠĆE	HR2510010051701612005
BENKOVAC	HR3110010051701712001
BEREK	HR5810010051701812007
BERETINEC	HR2610010051701912008
BIBINJE	HR5910010051702012003
BILICE	HR5010010051762112007
BILJE	HR8110010051702112002
BIOGRAD NA MORU	HR6510010051702212006
BISKUPIJA	HR4810010051731012000
BISTRA	HR5910010051754712006
BIZOVAC	HR1710010051702312004
BJELOVAR	HR8210010051702412005
BLATO	HR8810010051702512001
BOGDANOVCI	HR1810010051702612007
BOL	HR8310010051702712008   
BOROVO	HR9510010051702912000
BOSILJEVO	HR3610010051703012002
BOŠNJACI	HR6910010051703212004
BRCKOVLJANI	HR3710010051703312005
BRDOVEC	HR4310010051703412001
BRELA	HR5410010051707712007
BRESTOVAC	HR7010010051703512007
BREZNICA	HR3810010051703612008
BREZNIČKI HUM	HR8310010051715112003
BRINJE	HR0610010051703712009
BROD MORAVICE	HR5010010051703812000
BRODSKI STUPNIK	HR6110010051703912003
BRTONIGLA - VERTENEGLIO	HR2910010051704012004
BUDINŠČINA	HR9410010051704112005
BUJE – BUIE	HR0310010051704212001
BUKOVLJE	HR2910010051756712007
BUZET	HR3010010051704312007
CERNA	HR9510010051704412008
CERNIK	HR1010010051704612000
CEROVLJE	HR2110010051704712003
CESTICA	HR4310010051704812002
CETINGRAD	HR2710010051704912006
CISTA PROVO	HR6010010051705012001
CIVLJANE	HR8710010051705112007
CRES	HR5510010051705212008
CRIKVENICA	HR2310010051705312009
CRNAC	HR6710010051705412000
ČABAR	HR7810010051705512003
ČAČINCI	HR0310010051705612002
ČAĐAVICA	HR8410010051705712006
ČAGLIN	HR3610010051705812004
ČAKOVEC	HR1510010051706012008
ČAVLE	HR8010010051706112009
ČAZMA	HR3810010051706312003
ČEMINAC	HR6010010051706412002
ČEPIN	HR4410010051706512006
DARDA	HR9310010051706612004
DARUVAR	HR6110010051706712005
DAVOR	HR6710010051706812001
DEKANOVEC	HR9710010051760312005
DELNICE	HR9410010051706912007
DESINIĆ	HR8410010051707012000
DEŽANOVAC	HR9510010051707112003
DICMO	HR2010010051707212002
DOBRINJ	HR5310010051707412004
DOMAŠINEC	HR2110010051707512005
DONJA DUBRAVA	HR2210010051707812008
DONJA MOTIČINA	HR2710010051757612009
DONJA STUBICA	HR8710010051707912009
DONJA VOĆA	HR6610010051708012006
DONJI ANDRIJEVCI	HR1810010051708112004
DONJI KRALJEVEC	HR8310010051708212005
DONJI KUKURUZARI	HR8910010051708312001
DONJI LAPAC	HR1910010051708412007
DONJI MIHOLJAC	HR5210010051708612009
DONJI VIDOVEC	HR3210010051708912002
DRAGALIĆ	HR9410010051756812008
DRAGANIĆ	HR4310010051709012005
DRAŽ	HR4910010051709112001
DRENOVCI	HR7610010051709212007   
DRENJE	HR1210010051709412009
DRNIŠ	HR5610010051709512000
DRNJE	HR6710010051709612003
DUBRAVA	HR8910010051709712002
DUBRAVICA	HR7610010051754912005
DUBROVAČKO PRIMORJE	HR2510010051759812005
DUBROVNIK	HR7310010051709812006
DUGA RESA	HR2510010051709912004
DUGI RAT	HR4710010051710012003
DUGO SELO	HR6910010051710112002
